0.000000000000000000e+00 -7.462829278968616253e-02 1.066557718834481965e-02 4.952297879633041355e-02 -1.945461323975352860e-02 8.189855397783493002e-03 -7.404571133404983657e-03 -3.379632611179865433e-03 4.473923255014956185e-04 1.257441167334034634e-03
1.000000000000000056e-01 7.927025025633106792e-02 -5.214007388685587552e-02 -7.914984525022031314e-02 -7.230368958756230695e-03 -6.434885264877738230e-03 -1.653561128753134463e-03 -1.503128129632026050e-02 -6.437761885229173128e-03 -7.608559997956933219e-03
2.000000000000000111e-01 1.671262729134288527e-01 1.720288287150814957e-02 1.920991662916989376e-02 -4.187386264354608922e-02 -3.029187255481258223e-02 -1.598742882026886469e-02 -1.672240173993748760e-02 -1.630791680056325327e-02 -1.466562790537012141e-02
3.000000000000000444e-01 1.459446511367149674e-03 -2.632189321513974528e-02 9.924751676951594492e-04 -1.842904146070428739e-02 -1.290321880678710689e-02 -1.601244533637337028e-02 -1.362037371939035790e-02 -2.094396664745490355e-02 -1.944005959429628491e-02
4.000000000000000222e-01 1.525564359614285936e-01 -8.899797439042894664e-02 -2.284417145606124425e-02 -2.078554560189270137e-02 -2.681283492468813229e-02 -2.368285823946843921e-02 -2.052459248786192916e-02 -2.099555282922261484e-02 -2.271782480109327609e-02
5.000000000000000000e-01 1.943782882772976395e-01 -1.728419546068966570e-02 2.412129503072207165e-02 -2.833796856222122601e-02 -4.692242443103190885e-02 -9.713205923652904958e-03 -2.289107644618647991e-02 -2.180686117789726319e-02 -2.096490443670699297e-02
6.000000000000000888e-01 7.549300010783491222e-02 -7.877860701040612090e-02 1.733307201901822941e-02 -4.265807420764297642e-02 -1.016915795973704142e-02 -1.644318567337300918e-02 -1.989626964940809095e-02 -1.611825111923672477e-02 -1.716971073242229417e-02
7.000000000000000666e-01 8.289376049595223450e-02 6.435154876739318519e-03 -4.159893634415375713e-04 1.715453566674038366e-02 -1.095797336012066872e-02 -1.198129392446498076e-02 -1.228558642893138979e-02 -1.169827098661603906e-02 -1.154245719437369672e-02
8.000000000000000444e-01 1.175176945534925771e-01 -2.915872855338676878e-02 2.287676383771049260e-02 -2.260277295349489082e-02 -1.304375317953015111e-02 -2.440969602220015473e-03 -5.074031202475663520e-03 -7.726093016059320390e-03 -2.442749595307826607e-03
9.000000000000000222e-01 5.577939552597918627e-02 1.302577806007673422e-01 4.591376224275674905e-02 3.105848124806669802e-02 -5.734632126614071582e-03 7.658902932084899265e-03 3.381037523187528822e-03 5.257907267618877611e-03 4.641422341109164434e-03
1.000000000000000000e+00 -1.126387752715372614e-01 2.712775919735457147e-02 2.759443644733045042e-02 8.774804848275740213e-03 2.135588134121122611e-02 1.922940635773914483e-02 1.813437681760480050e-02 1.531594763058584038e-02 1.422095303181032319e-02
1.100000000000000089e+00 8.498429486083872164e-02 3.797138738878623465e-02 2.580044861431118886e-02 3.666595208446395138e-02 3.385969301332951431e-02 3.241374666978001640e-02 2.315692599085922634e-02 2.609261387969322860e-02 2.777894924385776107e-02
1.200000000000000178e+00 -3.867186491221025202e-02 1.546849223692848552e-01 5.115162766238468689e-02 4.355969365083317557e-02 3.927610001102477266e-02 4.513374385004242928e-02 4.270760392779874431e-02 4.097197900217442595e-02 4.287122246745914134e-02
1.300000000000000044e+00 3.542123829014698355e-03 1.171834008495215296e-01 8.453018929228786615e-02 4.049312397786945794e-02 5.218542747300299739e-02 5.687842072698813534e-02 5.630941341734459898e-02 5.553495212416257459e-02 5.388426712296112697e-02
1.400000000000000133e+00 -2.679013323307907757e-02 6.886264130144478801e-02 6.807648302103526394e-02 6.674087959335399389e-02 8.224439572069135174e-02 6.812996422740273672e-02 6.795538327390900080e-02 7.192379849144567294e-02 6.998456457303083023e-02
1.500000000000000000e+00 1.551522834796230654e-01 -3.254440127284513595e-03 8.225971375847491995e-02 9.866285264107403641e-02 8.499463505461585244e-02 9.043746086015612418e-02 8.968069099315555126e-02 8.490405223930087841e-02 8.579876467565798748e-02
